Domain,English Matrix with Sindhi Embeddings,A,B,C,D,answer,Source
Geography,What is the largest درياهُ  in Sindh?,Lyari River, Indus River,Malir River,Hub River,B,Asaan sindhi 9th and 10th sindh board
History,From which درياهُ  does Sindh derive its name?,Malir River,Lyari River,Sindhu River,Hub River,C,Asaan sindhi 9th and 10th sindh board
Culture,How many مرحلا are involved in making اجرڪ?,12,10,14,15,C,Asaan sindhi 9th and 10th sindh board
History,What name did the Arabs use to refer to the سنڌي اجرڪ?,Khaddar ,Azraq,Muslin,Chiffon,B,Asaan sindhi 9th and 10th sindh board
Culture,"In the context of سنڌي اجرڪ, what does the word ""ازرق"" mean?",White color,Red color,Green color,Blue color,D,Asaan sindhi 9th and 10th sindh board
Culture,سسئي ۽ پنهون is a tale of what?,Two enemies,Two lovers,Two friends ,Two family members,B,Asaan sindhi 9th and 10th sindh board
Culture,راٹو ۽ مومل is a tale of what?, Two Rajput lovers,Two Rajput enemies,Two Rajput friends ,Two Rajput kings,A,Asaan sindhi 9th and 10th sindh board
History,?born مخدوم عبدالله نريواري Where was ,Sehwan,Kutch,Hala,Thatta,B,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro belonged to which قبيلو? , Mandhro,Talpur,Samma,Kalhora,A,Asaan sindhi 9th and 10th sindh board
Culture,Which is the most celebrated تصنيف of Shah Abdul Latif Bhittai?,Shah Jo Risalo,Diwan-e-Ghalib,Kalila wa Dimna,None of these,A,Asaan sindhi 9th and 10th sindh board
History,Which قديم تهذيب  thrived in Sindh and is known for cities like Mohenjo-daro?,Greek ,Harappan,Egyptian,Mesopotamian,B,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,Which سنڌي ميلو is celebrated to mark the arrival of spring?,Navratri ,Chaliho Sahib,Thadri,Cheti Chand,D,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,The سنڌي اجرڪ is not only a روايتي شال but also a symbol of?,Peace ,Brotherhood,Pride and Identity,Love,C,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,What is سنڌي ساڳ made from?,Mustard Greens,Kale, Spinach,Fenugreek,A,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
History,During which dynasty did لال شھباز قلندر come into Sindh?,Soomra dynasty,Gupta dynasty,Mamlook dynasty, Ghaznavi dynasty,D,https://web.facebook.com/groups/2426748277645913/posts/3940538849600174/?_rdc=1&_rdr#
Geography,Which city in Sindh is famous for itsاچار ?,Shikarpur,Larkana,Karachi,Mirpurkhas,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,Which city in Sindh is famous for its انبن?,Karachi,Larkana, Mirpurkhas,Shikarpur,C,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,شاهدادڪوٽ was named after which person?,Sher Shah Suri ,Shahdad khan,Jam Nizamuddin,Mir Fateh Ali,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,What is the highest and coldest هنڌ in Sindh?,Gorakh Hill,Manchar Lake,Keenjhar Lake,Karoonjhar Mountains,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,Which city in سنڌ is called the “city of seven sisters”?,Dadu, Rohri,Nawabshah,Larkana,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Culture,"The famous Sindhi folk musical instrument ""سربهار"" is associated with the mystic poetry of whom?",Shah Abdul Latif Bhittai,Lal Shahbaz Qalandar,Sachal Sarmast,Bedil Sindhi,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,Which دور in سنڌ is referred to as the literary golden age?,British Period,Talpur Period,Kalhora Period,Samma Period,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,"Who is called ""لطيف ثاني"" in Sindhi literature?",Bedil Sindhi,Shah Abdul Latif Bhittai,Sachal Sarmast,Sheikh Ayaz,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,سکر بئراج is also known by which other name?,Lloyd Barrage,Kotri Barrage,Guddu Barrage,Taunsa Barrage,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,On which درياءَ is Sukkur Barrage constructed?,Indus River,Chenab River,Ravi River,Sutlej River,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
History,In which year was سکر بئراج built?,1922,1932,1925,1940,B,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,How many canals originate from سکر بئراج?,8,5,6,7,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
History,? سکر بئراج Who inaugurate,Sir George Lloyd ,Quaid-e-Azam Muhammad Ali Jinnah,Lord Wellington,Sir Arnold Musto,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,The لاڙي ٻولي is spoken in which part of Sindh?,Lower Sindh,Upper Sindh,Central Sindh,Western Sindh,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,How many اکر are there in the Sindhi language?,52,42,55,48,A,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
Geography,Which is the مشهور درياءُ of Sindh?,Ravi River,Jhelum River, Indus River,Chenab River,C,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
History,Where is the birthplace of جھوليلال located?,Umarkot ,Thatta,Sehwan,Nasarpur,D,https://www.funtrivia.com/trivia-quiz/World/Sindh--Sindhis-101660.html
History,What is the name of a مشهور قلعو in Sindh?,Ranikot Fort,Rohtas Fort,Derawar Fort,Umarkot Fort,A,https://askfilo.com/user-question-answers-smart-solutions/give-me-some-general-knowledge-sindhi-medium-100-3432303738363130
History,What is the name of the famous درگاهه in Sehwan Sharif?,Shah Jamal Shrine,Data Darbar,Lal Shahbaz Qalandar Shrine,Hinglaj Mata Temple,C,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
Geography,Which is the largest قدرتي freshwater lake in Sindh?,Keenjhar Lake, Manchar Lake,Hamal Lake,Haleji Lake,B,https://irrigation.sindh.gov.pk/MIS/lakes
Geography,?located موئن جو دڙو Where is,Karachi,Sukkur,Nawabshah,Larkana ,D,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
History,How long does the history of ملا کڙو date back?,5000 years,500 years,2000 years,1000 years,A,https://tsgpakistan.com/malakhra/
History,ملا کڙو is primarily associated with which region?,Sindh,Punjab,Rajasthan,Kashmir,A,https://tsgpakistan.com/malakhra/
Culture,Sindhi Culture Day is celebrated on the first آچر of which month?,August,July,December ,November,C,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
History,Which قديم archaeological site in Pakistan is often referred to as the “City of the Dead”?,Mohenjo-daro,Takht-i-Bahi,Taxila,Harappa,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,Where is the شاهجهان مسجد located?,Thatta,Larkana,Hyderabad,Nawabshah,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,What is لاڙڪاڻو widely known as?,The Eden of Sindh,The city of saints,The city of gardens,The land of Moenjodaro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"Who gave the title ""رهبرِ سنڌ"" to Sain Ghulam Muhammad Syed?",Muhammad Ali Jinnah,Abdul Sattar Edhi,Ghulam Ali Allana, Mirza Qaleech Baig,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ منصوره is located in which area?,Sanghar,Matiari,Hyderabad,Tharparkar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,How many administrative divisions are there in سنڌ?,9,6,4,3,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The largest coal ذخيرا are found in which area?,Thal,Karachi,Thar,Thatta,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,What is the Sindhi اجرڪ primarily made of?,Cotton,Jute,Silk,Wool,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which شهر in Sindh is known for its woodwork industry?,Shikarpur,kotri,Thatta,Larkana,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,In which language is ريسالو  the most well-known collection of romantic poetry written?,Arabic ,Urdu,Sindhi,Persian,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The shrine of شاهه عبداللطيف ڀٽائي is located in which place?,Bhit Shah,Sibbi,Jaccobabad,Hala,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Mohenjo-daro is a 4000-سال-old شهر of which civilization?,Indus civilization,Taxila civilization,Both of them,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Mohenjo-daro is located on the west bank of the سنڌو درياءَ in which region?,Central Sindh ,Lower sindh,Upper Sindh,Southern Sindh,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Lal Shahbaz Qalandar wrote several books in فارسي and which other ٻولي?,Urdu ,Sindhi,Arabic,Punjabi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the ٿر ريگستان  also called?,Friendly desert,Hot desert,Cool desert,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,How many  بئراج are there in Sindh?,7,4,3,5,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Marvi is a لوڪ tale of what?,Sindh,Thar,Thal, Seraiki,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The Sindh Provincial ميوزيم is located in which city?,larkana ,Hyderabad,Karachi,jamshoro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The لاڙي ٻولي is spoken in which region?,Punjab,Upper Sindh,Central Sindh,lower sindh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The Sindhi language is based on which رسم الخط?,Arabic,Persian,Dravidian,Sanskirit,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Into which body of water does the انڊس درياءَ flow?,Cape Monze, Arabian Sea,makaran coast,None of them,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where are the کیرٿر جبل located?,Sindh,Gilgit Baltistan,Punjab,FATA,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the total علائقو of Sindh?,"140,914sq.km","130,914sq.km","140,814sq.km","120,914sq.km",A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is ٽنگواڻي located in Pakistan?,Sindh,KPK,Balochistan,punjab,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Which قلعو is known as the “Great Wall of Sindh”?,ranikot fort,Schwan Fort,Bukkur Fort,Naukot Fort,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Which شاعر wrote verses in seven languages?,Sachal Sarmast,Latif Bhittai,Shahbaz Qalandar,Miran Shah,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,"The famous Sindhi song ""هو جمالو"" was composed in honor of Jamalo Baloch by whom?",Friends,Brother,Wife ,Parents,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Where was مرزا ڪليچ born?,1850,1890,1853,1773,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Which صوبو of پاڪستان is referred to as “Bab ul Islam”?,Sindh,Punjab,KPK,Balochistan,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,What is the name of the first ناول in the Sindhi language?,Sindh muhnje saah me,Talash,Shah jo risalo, Zeenat,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,"Who is the author of the Sindhi novel ""سنگهر""?",Dr Nabi bux Baloch,Dr Altaf jokhio, Muhammad Usman Deplai,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the اڇڙو ٿر located?, Karachi,Tharparkar,Dadu ,Khirpo,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,In which Hijri year did the Sindhi Sufi saint سچل سرمست die?,1242,1244,1248,None of these,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is the اصل name of وتايو فقير?, Mubarak,Shaikh Ayaz,Watan mal,None of them,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What was the name of عبيدالله سنڌي before accepting Islam?,Tara singh,Karak singh,Raj singh,Bhuta singh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,How many سر are there in Shah Jo Risalo?,30,50,10,38,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is the highest چوٽي in Sindh?, loi Naikan,Sakesar,Zardak,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The novel زينت was written by whom?, Sachal Sarmast,Shaikh Ayaz,Mirza Qaleech baig,Amar jaleel,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,غلام محمد بيراج is also known by which other name?,Kotri Barrage,Kandyaro Barrage, Indus Barrage,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,The three-century-old heritage mosque خدا آباد is located in which city of سنڌ?,Khairpur ,Umarkot,Dadu, Karachi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the مزار of the Sufi poet Allan Fakir located?,Matiari,Jamshoro,Hyderabad,Sukkur,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Mia Sahib Dino Farooqui was a renowned Sindhi شاعر of which period?,Ghazal,Geet,Bait, Kaafi,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"During the Kalhora rule, which language was the سرڪاري ٻولي of Sindh?",Arabic,Sindhi,Urdu, Persian,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is the original name of the Sufi poet سچل سرمست?,Abdul Wahab Faruqi,Abdul Haque,Abdullah,Abdul Ghani,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The local language of عمرڪوٽ belongs to which Rajasthani language group of the Indo-Aryan family?,Marwari,Urdu, Dhatki,Sindhi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,شاهه عبداللطيف ڀٽائي  is a famous Sindhi poet of which period?,17th century,18th century,16th century,15th century,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,What is another name for ڪوٽ ڊيجي Fort located in Khairpur?,Fort Ahmedabad ,Fort Ahmed,Fort Mir Ahmed,Fort Khairpur,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Who was the first Chief Commissioner and Governor of Sindh during the برٽش دور?, Loius,Charls Naiper,Johan Jacab, None of these,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which ضلعو of Sindh is called the “Sugar State” due to sugar production?,Badin,Tharparkar,Larkana,Karachi,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History, چانڊڪا is the old name of which place?,Nawabshah ,Sukkur,Larkana,Jamshoro,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,چٽوري is the historic ancestral graveyard of the Talpur Mirs located in which place?,Umerkot , Kandhkot,Ghotki,Mirpurkhas,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,What is the most مشهور fruit of Larkana?,Apple ,Guava,Orange,Grapes,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The “سنڌ جون ست راڻيون” are mentioned in which work?, Shah Jo Risalo,Pirs of Sindh,Sindh Ja Surma,Mashriq Ki Beti,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which درياهُ does not flow through the province of Sindh?,Indus,Sutlej,Ravi,Jhelum ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is a وڏي قدرتي ڍنڍ located in Sindh?,Attabad Lake  ,Keenjhar Lake,Satpara Lake,Saif-ul-Muluk Lake,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which is a major زرعي پيداوار of Sindh?,Cotton,Cocoa,Coffee,Tea,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Which is a رواجي سنڌي موسيقي instrument commonly played during cultural festivities and weddings?,Alghoza,Sarangi,Harmonium,Sitar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Which ريگستان in Sindh is known for its white sand dunes and salt deposits?,Thar Desert,Kharan Desert,White Desert (Achro Thar) ,Cholistan Desert,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,The folk tale of “عمر ماروي” belongs to which region?,Kohistan ,Tharparkar,Shikarpur,Larkana,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,At which saint’s shrine is the devotional dance “ڌمال'” performed in Sindh?,Abdullah Shah Ghazi ,Shah Abdul Latif Bhittai,Sachal Sarmast,Qalandar Lal Shahbaz,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Where is the shrine of عبدالله شاه غازي located?,Karachi,Thatta,Larkana,Badin,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs