Domain,Sindhi Matrix with English Embeddings ,A,B,C,D,Answer,Source
Geography,سنڌ ۾ سڀ کان وڏو river ڪهڙو آهي؟,Lyari River, Indus River,Malir River,Hub River,B,Asaan sindhi 9th and 10th sindh board
History,سنڌ جو name ڪهڙي درياهُ  کان ورتو ويو آهي؟,Malir River,Lyari River,Sindhu River,Hub River,C,Asaan sindhi 9th and 10th sindh board
Culture,روايتي سنڌي اجرڪ ٺاهڻ جا ڪيترا steps آهن؟,12,10,14,15,C,Asaan sindhi 9th and 10th sindh board
History,عربن سنڌي اجرڪ کي ڪهڙو name ڏنو؟,Khaddar ,Azraq,Muslin,Chiffon,B,Asaan sindhi 9th and 10th sindh board
Culture,"سنڌي اجرڪ جي حوالي سان لفظ ""ازرق"" جي ڇا meaning آهي؟",White color,Red color,Green color,Blue color,D,Asaan sindhi 9th and 10th sindh board
Culture,سسئي ۽ پنهون ڇاجي tale آهي؟,Two enemies,Two lovers,Two friends ,Two family members,B,Asaan sindhi 9th and 10th sindh board
Culture,راٹو ۽ مومل ڇاجي tale آهي؟, Two Rajput lovers,Two Rajput enemies,Two Rajput friends ,Two Rajput kings,A,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro ڪٿي ڄائو هو؟,Sehwan,Kutch,Hala,Thatta,B,Asaan sindhi 9th and 10th sindh board
History,Makhdum Abdallah Nariyawaro ڪهڙي tribe سان تعلق رکندو هو؟, Mandhro,Talpur,Samma,Kalhora,A,Asaan sindhi 9th and 10th sindh board
Culture,Shah Abdul Latif Bhittai جي مشهور composition ڪهڙي آهي؟,Shah Jo Risalo,Diwan-e-Ghalib,Kalila wa Dimna,None of these,A,Asaan sindhi 9th and 10th sindh board
History,سنڌ ۾ ڪهڙي ancient civilization ترقي ڪئي جيڪا موئن جو دڙو جهڙن شهرن لاءِ مشهور آهي؟,Greek ,Harappan,Egyptian,Mesopotamian,B,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,ڪهڙو Sindhi festival بهار جي اچڻ جي خوشي ۾  celebrate ڪيو ويندو آهي؟,Navratri ,Chaliho Sahib,Thadri,Cheti Chand,D,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي اجرڪ صرف traditional shawl ناهي پر هڪ symbol  پڻ آهي,Peace ,Brotherhood,Pride and Identity,Love,C,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
Culture,سنڌي saag ڪهڙي شيءَ مان ٺهيل آهي؟,Mustard Greens,Kale, Spinach,Fenugreek,A,https://web.facebook.com/groups/229328939075956/posts/779288397413338/?_rdc=1&_rdr#
History,Lal Shahbaz Qalandar ڪهڙي dynasty ۾ سنڌ آيو؟,Soomra dynasty,Gupta dynasty,Mamlook dynasty, Ghaznavi dynasty,D,https://web.facebook.com/groups/2426748277645913/posts/3940538849600174/?_rdc=1&_rdr#
Geography,سنڌ جو ڪهڙو شهر پنهنجي pickles لاءِ famou آهي؟,Shikarpur,Larkana,Karachi,Mirpurkhas,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,سنڌ جو ڪهڙو شهر mangoes لاءِ مشهور آهي؟,Karachi,Larkana, Mirpurkhas,Shikarpur,C,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,Shahdadkot جو name ڪنهن شخص جي نالي تي رکيو ويو؟,Sher Shah Suri ,Shahdad khan,Jam Nizamuddin,Mir Fateh Ali,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,سنڌ ۾ سڀ کان highest ۽ coldest هنڌ ڪهڙو آهي؟,Gorakh Hill,Manchar Lake,Keenjhar Lake,Karoonjhar Mountains,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Geography,"Sindh جو ڪهڙو city ""ست ڀينرن جو شهر"" سڏجي ٿو؟",Dadu, Rohri,Nawabshah,Larkana,B,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
Culture,"مشهور سنڌي لوڪ musical instrument ""سربهار"" ڪنهن صوفي شاعر سان جُڙيل آهي؟",Shah Abdul Latif Bhittai,Lal Shahbaz Qalandar,Sachal Sarmast,Bedil Sindhi,A,https://cssmcqs.com/200-important-sindhi-mcqs-gk-questions/
History,سنڌ ۾ ڪهڙو دور literary golden age سڏجي ٿو؟,British Period,Talpur Period,Kalhora Period,Samma Period,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,"Sindhi literature ۾ ""لطيف ثاني"" ڪير سڏجي ٿو؟",Bedil Sindhi,Shah Abdul Latif Bhittai,Sachal Sarmast,Sheikh Ayaz,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,Sukkur Barrage کي ٻيو ڪهڙو name پڻ ڏنو ويو آهي؟,Lloyd Barrage,Kotri Barrage,Guddu Barrage,Taunsa Barrage,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,سکر بئراج ڪهڙي river تي تعمير ڪيو ويو آهي؟,Indus River,Chenab River,Ravi River,Sutlej River,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
History,سکر بئراج ڪهڙي year ۾ تعمير ڪيو ويو؟,1922,1932,1925,1940,B,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,سکر بئراج مان ڪيترا canals نڪرن ٿا؟,8,5,6,7,D,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
History,سکر بئراج جو inauguration ڪنهن ڪيو؟,Sir George Lloyd ,Quaid-e-Azam Muhammad Ali Jinnah,Lord Wellington,Sir Arnold Musto,C,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Geography,لاڙي dialect سنڌ جي ڪهڙي حصي ۾ ڳالهائي ويندي آهي؟,Lower Sindh,Upper Sindh,Central Sindh,Western Sindh,A,https://www.scribd.com/document/420074063/Sindh-GK-Capsule
Culture,سنڌي ٻولي ۾ ڪيترا letters آهن؟,52,42,55,48,A,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
Geography,سنڌ جو famous river ڪهڙو آهي؟,Ravi River,Jhelum River, Indus River,Chenab River,C,https://wayground.com/admin/quiz/6028c606edaf48001b83c1fc/sindhi-gk-quiz
History,جھوليلال جي birthplace ڪٿي آهي؟,Umarkot ,Thatta,Sehwan,Nasarpur,D,https://www.funtrivia.com/trivia-quiz/World/Sindh--Sindhis-101660.html
History,سنڌ جو مشهور fort ڪهڙي نالي سان سڃاتو وڃي ٿو؟,Ranikot Fort,Rohtas Fort,Derawar Fort,Umarkot Fort,A,https://askfilo.com/user-question-answers-smart-solutions/give-me-some-general-knowledge-sindhi-medium-100-3432303738363130
History,سھوڻ شريف ۾ famous shrine جو نالو ڇا آهي؟,Shah Jamal Shrine,Data Darbar,Lal Shahbaz Qalandar Shrine,Hinglaj Mata Temple,C,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
Geography,سنڌ جو سڀ کان وڏو natural freshwater lake جي ڍنڍ ڪهڙي آهي؟,Keenjhar Lake, Manchar Lake,Hamal Lake,Haleji Lake,B,https://irrigation.sindh.gov.pk/MIS/lakes
Geography,موئن جو دڙو ڪٿي located آهي؟,Karachi,Sukkur,Nawabshah,Larkana ,D,https://askfilo.com/user-question-answers-smart-solutions/sindhi-medium-general-knowledge-questions-and-answers-100-3432303738373435
History,ملا کڙو جي history ڪيتري پراڻي آهي؟,5000 years,500 years,2000 years,1000 years,A,https://tsgpakistan.com/malakhra/
History,ملا کڙو بنيادي طور ڪهڙي علائقي سان associated آهي؟,Sindh,Punjab,Rajasthan,Kashmir,A,https://tsgpakistan.com/malakhra/
Culture,سنڌي ثقافت جو ڏينهن ڪهڙي month جي پهرين sunday  تي ملهايو ويندو آهي؟,August,July,December ,November,C,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
History,"پاڪستان جو ڪهڙو ancient archaeological site اڪثر ڪري ""مئلن جو شهر"" سڏيو ويندو آهي؟",Mohenjo-daro,Takht-i-Bahi,Taxila,Harappa,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,Shah Jahan Mosque ڪٿي واقع آهي؟,Thatta,Larkana,Hyderabad,Nawabshah,A,https://testpointpk.com/mcqs/18418/Sindhi-Culture-Day-is-celebrated-on-first-Sunday-of-which-month
Geography,Larkana کي عام طور ڇا سڏيو ويندو آهي؟,The Eden of Sindh,The city of saints,The city of gardens,The land of Moenjodaro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"Sain Ghulam Muhammad Syed کي ""رهبرِ سنڌ"" جو لقب ڪنهن ڏنو؟",Muhammad Ali Jinnah,Abdul Sattar Edhi,Ghulam Ali Allana, Mirza Qaleech Baig,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ منصوره ڪٿي  located  آهي؟,Sanghar,Matiari,Hyderabad,Tharparkar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ ۾ ڪيتريون administrative divisions آهن؟,9,6,4,3,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,largest coal reserves ڪٿي ملن ٿا؟,Thal,Karachi,Thar,Thatta,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Sindhi Ajrak بنيادي طور تي ڪهڙي شيءِ مان ٺهيل آهي؟,Cotton,Jute,Silk,Wool,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ جو ڪهڙو شهر woodwork جي صنعت لاءِ مشهور آهي؟,Shikarpur,kotri,Thatta,Larkana,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,ريسالو ڪهڙي language ۾ romantic شاعري جو بهترين مجموعو آهي؟,Arabic ,Urdu,Sindhi,Persian,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,شاهه عبداللطيف ڀٽائي جو مزار ڪٿي واقع آهي؟,Bhit Shah,Sibbi,Jaccobabad,Hala,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,موئن جو دڙو 4000 year پراڻو شهر آهي؟,Indus civilization,Taxila civilization,Both of them,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,موئن جو دڙو indus river جي اولهه ڪناري تي ڪهڙي علائقي ۾ واقع آهي؟,Central Sindh ,Lower sindh,Upper Sindh,Southern Sindh,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,لال شهباز قلندر فارسي ۽ ٻي ڪهڙي ٻولي ۾ books لکيا؟,Urdu ,Sindhi,Arabic,Punjabi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Thar Desert کي ٻيو ڇا سڏيو وڃي ٿو؟,Friendly desert,Hot desert,Cool desert,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ ۾ ڪيترا barrage آهن؟,7,4,3,5,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,ماروي ڪنهن جي folk tale آهي؟,Sindh,Thar,Thal, Seraiki,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ  جو Provincial Museum ڪٿي واقع آهي؟,larkana ,Hyderabad,Karachi,jamshoro,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Lari dialect ڪٿي ڳالهائي ويندي آهي؟,Punjab,Upper Sindh,Central Sindh,lower sindh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,سنڌي ٻولي ڪهڙي script تي مبني آهي؟,Arabic,Persian,Dravidian,Sanskirit,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography, Indus River جو پاڻي ڪهڙي سمنڊ ۾ وڃي ٿو؟,Cape Monze, Arabian Sea,makaran coast,None of them,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography, Kirthar Hills ڪٿي واقع آهن؟,Sindh,Gilgit Baltistan,Punjab,FATA,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ جو area ڪيترو آهي؟,"140,914sq.km","130,914sq.km","140,814sq.km","120,914sq.km",A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Tangwani شهر پاڪستان ۾ ڪٿي آهي؟,Sindh,KPK,Balochistan,Punjab,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"ڪهڙو قلعو ""Great Wall of Sindh"" طور سڃاتو وڃي ٿو؟",ranikot fort,Schwan Fort,Bukkur Fort,Naukot Fort,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,ڪهڙي شاعر 7 languages ۾ شاعري ڪئي؟,Sachal Sarmast,Latif Bhittai,Shahbaz Qalandar,Miran Shah,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,"مشهورSindhi song ""هو جمالو"" جمالو بلوچ جي عزت ۾ سندس ڪنهن طرفان ترتيب ڏنل هو؟",Friends,Brother,Wife ,Parents,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,Mirza Kaleech ڪٿي ڄائو؟,1850,1890,1853,1773,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,"پاڪستان جو ڪهڙو صوبو ""Bab ul Islam"" سڏيو وڃي ٿو؟",Sindh,Punjab,KPK,Balochistan,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,سنڌي ٻولي ۾ پهرين novel جو نالو ڇا آهي؟,Sindh muhnje saah me,Talash,Shah jo risalo, Zeenat,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,"سنڌي novel ""سنگهر"" جو ليکڪ ڪير آهي؟",Dr Nabi bux Baloch,Dr Altaf jokhio, Muhammad Usman Deplai,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography, اڇڙو ٿر ڪٿي واقع آهي؟, Karachi,Tharparkar,Dadu ,Khirpo,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,سنڌ جي عظيم صوفي، Sachal Sarmast، ڪهڙي هجري سال ۾ وفات ڪئي؟,1242,1244,1248,None of these,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History, Wataio Faqir جو اصل نالو ڇا آهي؟, Mubarak,Shaikh Ayaz,Watan mal,None of them,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History, Ubaidullah Sindhi اسلام قبول ڪرڻ کان اڳ ڪهڙو نالو رکندو هو؟,Tara singh,Karak singh,Raj singh,Bhuta singh ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,شاہ جو رسالو ۾ ڪيترا  chapters آهن؟,30,50,10,38,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ جو سڀ کان اوچي peak ڪهڙي آهي؟, loi Naikan,Sakesar,Zardak,None of these,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,زينت novel ڪنهن لکيو آهي؟, Sachal Sarmast,Shaikh Ayaz,Mirza Qaleech baig,Amar jaleel,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Ghulam Muhammad Barrage کي پڻ ڇا سڏيو وڃي ٿو؟,Kotri Barrage,Kandyaro Barrage, Indus Barrage,None of them,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,three-century-old heritage mosque خدا آباد سنڌ جي ڪهڙي شهر ۾ آهي؟,Khairpur ,Umarkot,Dadu, Karachi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,صوفي poet الڻ فقير جي مزار ڪٿي آهي؟,Matiari,Jamshoro,Hyderabad,Sukkur,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Mia Sahib Dino Farooqui ڪهڙي دور جا مشهور سنڌي شاعرهئا؟,Ghazal,Geet,Bait, Kaafi,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,ڪلھوڙا دور ۾ سنڌ جي official language ڪهڙي هئي؟,Arabic,Sindhi,Urdu, Persian,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History, Sufi Poet سچل سرمست  جو original نالو ڇا آهي؟,Abdul Wahab Faruqi,Abdul Haque,Abdullah,Abdul Ghani,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Umerkot شهر جي local language ڪهڙي آهي جيڪا انڊو-آريان خاندان جي راجھستاني ٻولين مان هڪ آهي؟,Marwari,Urdu, Dhatki,Sindhi,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,Shah Abdul Latif Bhittai ڪهڙي دور جا famous سنڌي شاعر آهن؟,17th century,18th century,16th century,15th century,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,خيرپور ۾ واقع Kot Diji Fort جو ٻيو نالو ڇا آهي؟,Fort Ahmedabad ,Fort Ahmed,Fort Mir Ahmed,Fort Khairpur,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History,برٽش دور ۾ سنڌ جو پهريون Chief Commissioner ۽ Governor ڪير هو؟, Loius,Charls Naiper,Johan Jacab, None of these,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,"سنڌ جو ڪهڙو district کنڊ جي پيداوار سبب ""شگر اسٽيٽ"" سڏجي ٿو؟",Badin,Tharparkar,Larkana,Karachi,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
History, Chandka جو پراڻو نالو ڇا آهي؟,Nawabshah ,Sukkur,Larkana,Jamshoro,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,ٽالپر ميرن جو historic ancestral graveyard چٽوري ڪٿي آهي؟,Umerkot , Kandhkot,Ghotki,Mirpurkhas,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,Larkana جو مشهور fruit ڪهڙو آهي؟,Apple ,Guava,Orange,Grapes,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture," ""Seven Queens of Sindh"" جو ڪٿي ذڪر ٿيل آهي؟", Shah Jo Risalo,Pirs of Sindh,Sindh Ja Surma,Mashriq Ki Betiyan,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,هيٺين مان ڪهڙي ندي   Sindh province مان نٿي گذري؟,Indus,Sutlej,Ravi,Jhelum ,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,هيٺين مان ڪهڙي وڏي natural lake سنڌ ۾ آهي؟,Attabad Lake  ,Keenjhar Lake,Satpara Lake,Saif-ul-Muluk Lake,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,هيٺين مان ڪهڙي سنڌ جي وڏي agricultural product آهي؟,Cotton,Cocoa,Coffee,Tea,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,هيٺين مان ڪهڙو traditional Sindhi musical instrument آهي، جيڪو اڪثر ثقافتي ميلن ۽ شادي جي موقعي تي وڄايو ويندو آهي؟,Alghoza,Sarangi,Harmonium,Sitar,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,سنڌ جي ڪهڙي desert کي ان جي سفيد واري واري ٽڪرن ۽ salt جي ذخيري لاءِ سڃاتو وڃي ٿو؟,Thar Desert,Kharan Desert,White Desert (Achro Thar) ,Cholistan Desert,C,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,عمر ماروي' جي folk tale ڪهڙي علائقي سان تعلق رکي ٿي؟,Kohistan ,Tharparkar,Shikarpur,Larkana,B,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Culture,سنڌ ۾ ڪهڙي ولي جي درگاهه تي 'ڌمال' (هڪ devotional dance) ڪيو ويندو آهي؟,Abdullah Shah Ghazi ,Shah Abdul Latif Bhittai,Sachal Sarmast,Qalandar Lal Shahbaz,D,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs
Geography,عبدالله شاه غازي جي  shrine ڪٿي located آهي؟,Karachi,Thatta,Larkana,Badin,A,Sindh Study Mcqs for NTS PMS FPSC Test Preparation. Sindhi Mcqs